City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,8.32,64,100,1.43,NZ,2024-08-02 00:34:55
1,kattivakkam,13.2167,80.3167,29.52,76,100,3.92,IN,2024-08-02 00:34:56
2,semera,11.501,41.201,25.11,65,100,1.28,ET,2024-08-02 00:34:57
3,blackmans bay,-43.0167,147.3167,9.85,78,17,0.89,AU,2024-08-02 00:34:58
4,barrouallie,13.2333,-61.2667,26.01,76,97,2.07,VC,2024-08-02 00:34:59
5,sao joaquim,-28.2939,-49.9317,9.76,96,5,1.6,BR,2024-08-02 00:35:00
6,broome,42.2506,-75.833,25.43,61,63,0.45,US,2024-08-02 00:35:01
7,tsiombe,-25.3,45.4833,18.47,69,82,0.34,MG,2024-08-02 00:35:02
8,tazovsky,67.4667,78.7,15.37,88,76,4.32,RU,2024-08-02 00:35:03
9,shimoda,34.6667,138.95,28.95,70,8,3.82,JP,2024-08-02 00:35:05
10,tiksi,71.6872,128.8694,5.78,58,52,1.93,RU,2024-08-02 00:35:06
11,katsuura,35.1333,140.3,26.37,82,17,4.93,JP,2024-08-02 00:35:07
12,ushuaia,-54.8,-68.3,1.81,93,40,1.54,AR,2024-08-02 00:33:33
13,puerto natales,-51.7236,-72.4875,2.15,97,100,1.28,CL,2024-08-02 00:35:09
14,port lincoln,-34.7333,135.8667,11.99,56,99,7.86,AU,2024-08-02 00:35:10
15,constantia,44.1833,28.65,19.38,70,0,5.17,RO,2024-08-02 00:35:11
16,port-aux-francais,-49.35,70.2167,4.9,94,100,16.46,TF,2024-08-02 00:35:12
17,port elizabeth,-33.918,25.5701,12.95,86,0,3.09,ZA,2024-08-02 00:35:13
18,adamstown,-25.066,-130.1015,19.51,88,100,3.51,PN,2024-08-02 00:35:14
19,severomorsk,69.0689,33.4162,12.22,95,100,3.5,RU,2024-08-02 00:35:15
20,tolanaro,-25.0319,46.9987,18.04,82,20,2.06,MG,2024-08-02 00:33:12
21,bredasdorp,-34.5322,20.0403,7.91,90,94,2.47,ZA,2024-08-02 00:35:17
22,albany,42.6001,-73.9662,26.05,63,0,2.56,US,2024-08-02 00:31:16
23,udachny,66.4167,112.4,14.5,45,6,3.5,RU,2024-08-02 00:31:57
24,hengchun,22.0042,120.7439,29.63,80,4,6.89,TW,2024-08-02 00:35:22
25,nyakahanga,-1.6033,31.1414,17.46,66,50,1.45,TZ,2024-08-02 00:35:23
26,waitangi,-43.9535,-176.5597,9.34,80,74,4.92,NZ,2024-08-02 00:35:24
27,broken hill,-31.95,141.4333,14.4,39,100,6.95,AU,2024-08-02 00:32:00
28,luderitz,-26.6481,15.1594,14.27,36,0,4.13,NA,2024-08-02 00:35:26
29,yellowknife,62.456,-114.3525,15.23,66,75,5.14,CA,2024-08-02 00:35:27
30,invercargill,-46.4,168.35,8.46,68,26,0.8,NZ,2024-08-02 00:35:28
31,lebu,-37.6167,-73.65,10.42,96,100,5.22,CL,2024-08-02 00:35:29
32,ilulissat,69.2167,-51.1,3.01,100,40,0.0,GL,2024-08-02 00:35:30
33,san patricio,28.017,-97.5169,31.93,71,23,5.56,US,2024-08-02 00:35:31
34,sao gabriel da cachoeira,-0.1303,-67.0892,23.55,89,71,0.18,BR,2024-08-02 00:35:32
35,cabo san lucas,22.8909,-109.9124,32.61,62,40,4.12,MX,2024-08-02 00:33:13
36,cannonvale,-20.2833,148.7,21.99,58,0,7.48,AU,2024-08-02 00:35:34
37,holualoa,19.6228,-155.9522,25.91,75,100,4.12,US,2024-08-02 00:35:36
